DSSS_TIME (Time)," DSSS_TAU (Shear_Stress, kPa)"," DSSS_SIGV (Normal_Stress, kPa)"," DSSS_YHV (Shear_Strain, %)"," DSSS_EPSV (Vertical_Strain, %)"
0.000488602,-0.5,125,0,0
0.0996748,1.9,124.8,0.023,-0.004
0.19935,4.7,124.8,0.094,-0.012
0.299024,7.7,125.1,0.187,-0.012
0.398699,10.6,125.6,0.288,-0.008
0.498374,13.3,125.5,0.398,-0.012
0.598049,16.3,125.5,0.515,-0.012
0.697724,19,125.7,0.624,-0.012
0.797399,21.8,125.8,0.741,-0.012
0.897073,24.3,125.8,0.85,-0.012
0.996748,26.9,126,0.967,-0.012
1.09642,29.3,126.3,1.092,-0.012
1.1961,31.6,126.2,1.205,-0.012
1.29577,33.8,126.5,1.325,-0.015
1.39545,35.8,126.8,1.442,-0.015
1.49512,37.8,127.1,1.555,-0.019
1.5948,39.6,127.4,1.665,-0.015
1.69447,41.1,127.7,1.77,-0.023
1.79415,42.5,127.8,1.867,-0.023
1.89382,43.8,128,1.961,-0.023
1.9935,45,128.3,2.058,-0.023
2.09317,45.9,128.4,2.136,-0.012
2.19285,46.6,128.6,2.21,-0.023
2.29252,47.2,128.8,2.28,-0.027
2.3922,47.6,128.9,2.335,-0.027
2.49187,47.7,128.8,2.374,-0.027
2.59155,47.8,129,2.409,-0.027
2.69122,47.7,129.1,2.429,-0.023
2.79089,47.2,129.1,2.433,-0.027
2.89057,46.6,129.1,2.436,-0.027
2.99024,45.8,129.2,2.433,-0.027
3.08992,45,129.3,2.433,-0.012
3.18959,43.7,129.1,2.413,-0.023
3.28927,42.6,129.1,2.394,-0.027
3.38894,41.1,129.3,2.374,-0.027
3.48862,39.5,129.1,2.339,-0.027
3.58829,37.8,128.9,2.3,-0.023
3.68797,36,129.1,2.253,-0.027
3.78764,34,129.1,2.195,-0.023
3.88732,31.8,128.7,2.128,-0.019
3.98699,29.4,128.7,2.05,-0.019
4.08667,27,128.8,1.976,-0.004
4.18634,24.6,128.6,1.887,-0.019
4.28602,21.9,128.4,1.785,-0.019
4.38569,19.2,128.2,1.68,-0.019
4.48537,16.5,128.3,1.567,-0.019
4.58504,13.4,128.1,1.442,-0.019
4.68472,10.6,128,1.318,-0.015
4.78439,7.6,128,1.185,-0.015
4.88407,4.8,127.9,1.041,-0.015
4.98374,1.7,127.8,0.893,-0.019
5.08342,-1.2,127.8,0.733,-0.012
5.18309,-4.4,127.9,0.557,-0.015
5.28277,-7.4,128,0.394,-0.019
5.38244,-10.4,128.2,0.242,-0.015
5.48212,-13.3,128.4,0.078,-0.015
5.58179,-16.3,128.5,-0.078,-0.015
5.68147,-19.2,128.6,-0.238,-0.012
5.78114,-21.8,129,-0.39,-0.015
5.88081,-24.4,129.4,-0.55,-0.015
5.98049,-26.9,129.4,-0.709,-0.012
6.08016,-29.6,129.8,-0.881,-0.015
6.17984,-31.7,130.3,-1.037,-0.012
6.27951,-34,130.5,-1.201,-0.019
6.37919,-36,130.7,-1.353,-0.019
6.47886,-38,130.9,-1.509,-0.015
6.57854,-39.6,131.2,-1.657,-0.015
6.67821,-41.4,131.2,-1.805,-0.019
6.77789,-42.9,131.4,-1.949,-0.015
6.87756,-44.2,131.6,-2.07,-0.015
6.97724,-45.5,131.7,-2.175,-0.019
7.07691,-46.5,131.6,-2.269,-0.015
7.17659,-47.2,131.9,-2.347,-0.015
7.27626,-47.9,131.9,-2.421,-0.019
7.37594,-48.3,131.7,-2.464,-0.019
7.47561,-48.5,131.8,-2.514,-0.019
7.57529,-48.5,131.8,-2.546,-0.019
7.67496,-48.5,131.7,-2.561,-0.019
7.77464,-48,131.5,-2.569,-0.023
7.87431,-47.6,131.5,-2.573,-0.019
7.97399,-47,131.3,-2.573,-0.019
8.07366,-46.2,131.2,-2.557,-0.019
8.17334,-45,131.1,-2.546,-0.012
8.27301,-43.8,130.9,-2.534,-0.019
8.37269,-42.3,130.6,-2.499,-0.019
8.47236,-40.8,130.4,-2.464,-0.019
8.57203,-39,130.2,-2.425,-0.019
8.67171,-37.2,129.7,-2.37,-0.019
8.77138,-35.2,129.3,-2.316,-0.015
8.87106,-33.1,129.1,-2.249,-0.015
8.97073,-30.8,128.7,-2.179,-0.015
9.07041,-28.4,128.2,-2.097,-0.019
9.17008,-25.9,128,-2.004,-0.012
9.26976,-23.3,127.8,-1.898,-0.019
9.36943,-20.6,127.3,-1.785,-0.019
9.46911,-17.8,127,-1.657,-0.015
9.56878,-15.1,126.9,-1.524,-0.019
9.66846,-12,126.8,-1.376,-0.019
9.76813,-9.1,126.4,-1.228,-0.015
9.86781,-6,126.1,-1.072,-0.019
9.96748,-3,126,-0.912,-0.019
10.0672,0,125.6,-0.748,-0.012
10.1668,2.9,125.4,-0.573,-0.004
10.2665,6,125.4,-0.382,-0.015
10.3662,9,125.4,-0.191,-0.012
10.4659,12,125.3,-0.008,-0.012
10.5655,14.9,125.3,0.179,-0.012
10.6652,17.8,125.5,0.366,-0.015
10.7649,20.5,125.7,0.554,-0.012
10.8646,23.2,125.7,0.721,-0.012
10.9642,25.9,125.9,0.893,-0.019
11.0639,28.5,126.1,1.056,-0.015
11.1636,30.8,126.4,1.216,-0.012
11.2633,32.9,126.3,1.364,-0.015
11.3629,35,126.7,1.513,-0.019
11.4626,37.1,127.2,1.653,-0.019
11.5623,38.9,127.2,1.781,-0.019
11.662,40.5,127.2,1.898,-0.019
11.7616,42,127.5,2.008,-0.019
11.8613,43.4,127.8,2.109,-0.019
11.961,44.6,127.7,2.206,-0.023
12.0607,45.6,127.7,2.284,-0.027
12.1603,46.5,128,2.358,-0.023
12.26,47.1,128.1,2.421,-0.023
12.3597,47.5,128.1,2.475,-0.027
12.4594,47.7,128.1,2.518,-0.027
12.559,47.8,128.3,2.542,-0.023
12.6587,47.6,128.2,2.561,-0.027
12.7584,47.4,128.2,2.569,-0.031
12.8581,46.9,128.1,2.573,-0.027
12.9577,46.2,128.4,2.569,-0.023
13.0574,45.3,128.2,2.565,-0.027
13.1571,44.2,127.9,2.549,-0.027
13.2568,43.2,128.1,2.53,-0.019
13.3564,41.8,128.1,2.507,-0.027
13.4561,40.2,127.8,2.479,-0.027
13.5558,38.5,127.9,2.436,-0.027
13.6555,36.7,127.9,2.39,-0.023
13.7551,34.9,127.6,2.331,-0.023
13.8548,32.7,127.5,2.265,-0.023
13.9545,30.3,127.5,2.191,-0.023
14.0542,28,127.3,2.113,-0.019
14.1538,25.5,127.1,2.019,-0.019
14.2535,22.8,127.2,1.918,-0.004
14.3532,20.2,127,1.809,-0.015
14.4528,17.5,126.6,1.7,-0.015
14.5525,14.5,126.7,1.571,-0.015
14.6522,11.7,126.6,1.438,-0.012
14.7519,8.7,126.4,1.294,-0.012
14.8515,5.8,126.2,1.146,-0.015
14.9512,2.8,126.1,0.986,-0.015
15.0509,0,126.1,0.819,-0.015
15.1506,-3,125.9,0.628,-0.012
15.2502,-6.1,126.1,0.433,-0.004
15.3499,-9.1,126.1,0.242,-0.015
15.4496,-12.1,126.3,0.051,-0.012
15.5493,-15,126.4,-0.136,-0.015
15.6489,-17.8,126.7,-0.316,-0.012
15.7486,-20.6,127,-0.507,-0.015
15.8483,-23.3,127.3,-0.69,-0.012
15.948,-26,127.8,-0.877,-0.015
16.0476,-28.4,128.1,-1.049,-0.015
16.1473,-30.9,128.2,-1.216,-0.012
16.247,-33.1,128.5,-1.384,-0.004
16.3467,-35.2,129,-1.552,-0.015
16.4463,-37.3,129.2,-1.711,-0.015
16.546,-39.1,129.4,-1.859,-0.012
16.6457,-40.9,129.8,-2,-0.015
16.7454,-42.5,130,-2.128,-0.015
16.845,-44,130,-2.23,-0.019
16.9447,-45.2,130.2,-2.331,-0.015
17.0444,-46.2,130.4,-2.409,-0.015
17.1441,-47,130.2,-2.471,-0.015
17.2437,-47.8,130.3,-2.534,-0.015
17.3434,-48.2,130.5,-2.585,-0.015
17.4431,-48.6,130.4,-2.624,-0.019
17.5428,-48.7,130.3,-2.651,-0.015
17.6424,-48.6,130.3,-2.67,-0.019
17.7421,-48.3,130.3,-2.678,-0.019
17.8418,-47.9,130.1,-2.682,-0.019
17.9415,-47.2,130,-2.678,-0.012
18.0411,-46.4,129.9,-2.67,-0.015
18.1408,-45.5,129.8,-2.655,-0.019
18.2405,-44.2,129.6,-2.639,-0.015
18.3402,-42.7,129.4,-2.616,-0.015
18.4398,-41.3,129,-2.577,-0.019
18.5395,-39.6,128.6,-2.53,-0.015
18.6392,-37.8,128.4,-2.483,-0.019
18.7389,-35.8,128.1,-2.429,-0.019
18.8385,-33.7,127.6,-2.366,-0.019
18.9382,-31.5,127.2,-2.292,-0.015
19.0379,-29.1,127,-2.21,-0.015
19.1376,-26.6,126.7,-2.121,-0.012
19.2372,-24.1,126.1,-2.023,-0.015
19.3369,-21.4,125.9,-1.914,-0.008
19.4366,-18.6,125.8,-1.789,-0.019
19.5363,-15.9,125.4,-1.653,-0.019
19.6359,-12.9,125.1,-1.505,-0.015
19.7356,-10,125.1,-1.345,-0.012
19.8353,-7,124.7,-1.189,-0.015
19.935,-4,124.2,-1.025,-0.012
20.0346,-1,124,-0.854,-0.012
