Time (s),Shear Stress (kPa),Vertical Effective Stress (kPa),Shear Strain (%),Vertical Strain (%)
0.000488602,0,153,-0.003,0
0.0996748,1.5,153.3,0.02,-0.003
0.19935,3.4,153.8,0.061,-0.003
0.299024,5.1,154.4,0.121,-0.003
0.398699,7.3,155.1,0.2,0
0.498374,9.2,155.6,0.281,-0.003
0.598049,11.3,156.1,0.368,-0.006
0.697724,13.2,156.6,0.45,-0.006
0.797399,15.1,157.1,0.528,-0.008
0.897073,17,157.5,0.613,-0.008
0.996748,18.6,157.8,0.705,-0.009
1.09642,20.4,158.3,0.798,-0.011
1.1961,22.1,158.7,0.881,-0.012
1.29577,23.5,159.3,0.962,-0.012
1.39545,24.8,159.8,1.041,-0.008
1.49512,26.2,160,1.118,-0.014
1.5948,27.5,160.5,1.19,-0.014
1.69447,28.6,161.2,1.258,-0.015
1.79415,29.5,161.7,1.321,-0.015
1.89382,30.4,162.3,1.381,-0.014
1.9935,31.2,163,1.431,-0.014
2.09317,31.9,163.3,1.479,-0.012
2.19285,32.3,163.7,1.518,-0.012
2.29252,32.8,163.9,1.55,-0.011
2.3922,33,164,1.578,-0.005
2.49187,33.1,164,1.596,-0.011
2.59155,33.1,164.1,1.609,-0.011
2.69122,33,164,1.616,-0.011
2.79089,32.8,164,1.618,-0.009
2.89057,32.5,163.9,1.618,-0.009
2.99024,32,163.8,1.618,-0.009
3.08992,31.3,163.8,1.61,-0.009
3.18959,30.6,163.6,1.595,-0.008
3.28927,29.8,163.4,1.578,-0.009
3.38894,28.7,163.2,1.555,-0.005
3.48862,27.7,162.8,1.526,-0.006
3.58829,26.6,162.6,1.492,-0.008
3.68797,25.3,162.2,1.453,-0.008
3.78764,23.9,161.8,1.407,-0.005
3.88732,22.4,161.3,1.353,-0.005
3.98699,20.8,160.8,1.294,-0.003
4.08667,19.2,160.2,1.231,-0.002
4.18634,17.4,159.8,1.167,0
4.28602,15.5,159.2,1.087,0
4.38569,13.7,158.5,1.011,0.002
4.48537,11.8,157.8,0.927,0.002
4.58504,9.7,157.3,0.841,0.003
4.68472,7.6,156.7,0.751,0.003
4.78439,5.6,156.1,0.661,0.005
4.88407,3.5,155.7,0.569,0.005
4.98374,1.5,155.2,0.471,0.006
5.08342,-0.7,154.8,0.37,0.006
5.18309,-2.7,154.5,0.272,0.006
5.28277,-4.8,154,0.173,0.009
5.38244,-7,153.6,0.073,0.009
5.48212,-8.9,153.5,-0.026,0.011
5.58179,-10.7,153.5,-0.151,0.009
5.68147,-12.8,153.1,-0.294,0.009
5.78114,-14.9,152.8,-0.405,0.009
5.88081,-16.6,152.4,-0.505,0.009
5.98049,-18.4,152.1,-0.602,0.009
6.08016,-20.1,151.9,-0.697,0.011
6.17984,-21.8,151.5,-0.794,0.011
6.27951,-23.2,151.4,-0.885,0.012
6.37919,-24.6,151.1,-0.977,0.012
6.47886,-25.9,151,-1.064,0.017
6.57854,-27.2,150.9,-1.156,0.012
6.67821,-28.2,151.1,-1.24,0.012
6.77789,-29.3,151.3,-1.332,0.011
6.87756,-30.1,151.6,-1.414,0.012
6.97724,-31,151.8,-1.494,0.012
7.07691,-31.7,151.7,-1.561,0.012
7.17659,-32.2,151.6,-1.615,0.012
7.27626,-32.6,151.4,-1.656,0.012
7.37594,-33,151.3,-1.694,0.012
7.47561,-33,151.3,-1.719,0.018
7.57529,-33.1,151.2,-1.737,0.014
7.67496,-32.9,151.2,-1.746,0.012
7.77464,-32.7,151.2,-1.749,0.014
7.87431,-32.4,151.3,-1.751,0.014
